sku_id,current_stock,avg_daily_sales,sales_volatility,supplier_lead_time_days,safety_stock_level,reorder_point,seasonality_index,historical_stockout_count,will_stockout_next_30_days
SKU-00251,19,1.22,0.61,28,5,22,1.37,1,1
SKU-00252,73,0.96,0.5,22,9,20,1.32,1,0
SKU-00253,653,20.6,5.52,24,118,365,1.24,1,1
SKU-00254,279,4.5,1.62,18,32,72,0.51,0,0
SKU-00255,2187,35.76,18.05,8,322,465,1.37,2,0
SKU-00256,300,5.22,1.02,4,44,54,0.9,1,0
SKU-00257,28,1.77,0.73,12,8,19,1.23,0,1
SKU-00258,285,8.99,2.83,15,66,133,1.23,4,1
SKU-00259,650,14.55,2.72,11,94,174,0.68,0,0
SKU-00260,438,13.43,6.93,4,65,92,1.02,2,0
SKU-00261,332,15.58,4.09,16,51,176,1.43,1,1
SKU-00262,15,3.51,1.99,15,26,52,0.76,1,1
SKU-00263,111,20.27,7.79,28,171,455,1.22,0,1
SKU-00264,218,21.08,7.53,28,202,497,1.46,1,1
SKU-00265,92,21.7,6.76,19,119,325,0.86,3,1
SKU-00266,424,10.11,3.04,25,59,185,0.89,0,0
SKU-00267,139,6.21,3.16,10,26,57,0.95,1,0
SKU-00268,278,5.76,2.53,29,57,141,1.31,2,0
SKU-00269,21,1.76,0.86,28,16,41,0.94,2,1
SKU-00270,375,5.32,1.65,5,52,65,0.99,2,0
SKU-00271,5,0.46,0.11,21,3,8,0.72,0,1
SKU-00272,19,1.5,0.22,14,7,17,1.49,2,1
SKU-00273,530,10.04,4.9,9,70,115,1.39,1,0
SKU-00274,249,6.8,2.09,13,38,82,1.1,2,0
SKU-00275,70,9.72,3.45,27,53,184,1.46,0,1
SKU-00276,56,13.78,4.61,27,49,235,1.19,5,1
SKU-00277,158,11.07,3.49,11,39,100,1.46,0,1
SKU-00278,338,10.4,4.6,14,59,132,0.66,2,0
SKU-00279,195,7.78,3.15,16,74,136,0.73,1,0
SKU-00280,197,4.35,2.55,22,35,83,1.39,1,1
SKU-00281,82,2.61,0.44,15,22,42,0.92,1,0
SKU-00282,143,5.44,2.1,13,25,60,0.87,0,0
SKU-00283,433,7.89,1.04,27,64,171,1.25,1,0
SKU-00284,399,8.67,4.37,12,51,103,1.13,0,0
SKU-00285,117,15.6,6.37,9,53,123,0.84,3,1
SKU-00286,53,7.34,2.31,11,42,82,0.9,0,1
SKU-00287,75,12.4,6.21,11,49,117,0.91,3,1
SKU-00288,36,2.05,0.67,17,18,35,0.63,2,1
SKU-00289,296,10.14,2.17,20,90,191,0.73,3,0
SKU-00290,36,9.62,3.23,5,48,72,1.04,2,1
SKU-00291,1129,20.28,2.75,26,148,412,1.28,1,0
SKU-00292,301,6.81,3.74,9,38,69,0.92,0,0
SKU-00293,184,6.58,3.06,5,27,43,0.88,2,0
SKU-00294,374,13.85,6.65,20,105,243,1.15,0,1
SKU-00295,156,2.81,1.51,7,23,33,0.66,0,0
SKU-00296,458,9.95,4.93,23,84,198,0.88,0,0
SKU-00297,74,2.67,0.84,28,11,48,0.71,0,0
SKU-00298,218,26.48,4.22,21,174,452,1.15,0,1
SKU-00299,159,5.89,1.69,23,19,87,0.61,1,0
SKU-00300,35,2.5,1.42,15,9,28,0.95,1,1
SKU-00301,56,5.4,3.1,11,19,49,1.1,1,1
SKU-00302,134,9.99,4.83,19,34,129,1.33,0,1
SKU-00303,172,12.12,2.45,12,65,138,1.22,1,1
SKU-00304,976,19.56,3.86,26,108,362,1.44,1,0
SKU-00305,234,4.86,2.62,15,38,74,1.18,2,0
SKU-00306,625,14.29,2.44,15,76,183,0.85,0,0
SKU-00307,60,1.5,0.59,20,6,21,0.73,2,0
SKU-00308,180,3.28,0.95,7,32,43,0.56,1,0
SKU-00309,146,2.11,0.53,17,19,37,0.78,1,0
SKU-00310,139,4.14,1.82,23,16,64,0.64,2,0
SKU-00311,138,13.84,8.02,23,77,236,0.87,2,1
SKU-00312,61,4.97,2.43,8,21,41,1.2,0,1
SKU-00313,223,5.8,1.99,3,56,65,1.19,1,0
SKU-00314,330,10.19,3.26,7,56,92,0.82,3,0
SKU-00315,309,11.76,6.51,24,43,184,1.01,1,1
SKU-00316,168,5.95,2.31,9,48,75,0.72,1,0
SKU-00317,207,3.26,1.14,3,26,31,1.0,1,0
SKU-00318,679,23.66,10.44,18,111,324,1.01,1,0
SKU-00319,117,5.98,1.31,26,31,109,0.8,1,1
SKU-00320,245,6.49,0.86,8,38,64,0.76,3,0
SKU-00321,279,7.17,3.78,3,35,46,1.48,1,0
SKU-00322,218,12.66,5.11,5,64,96,1.04,2,0
SKU-00323,68,1.93,0.35,5,17,22,1.06,1,0
SKU-00324,1582,29.85,7.43,7,247,351,0.51,1,0
SKU-00325,212,6.34,3.77,7,50,72,0.68,1,0
SKU-00326,205,12.97,5.41,19,101,224,0.86,3,1
SKU-00327,140,2.53,1.06,8,17,27,1.47,2,0
SKU-00328,117,9.44,1.28,17,52,132,0.68,1,1
SKU-00329,563,26.86,15.7,13,216,391,0.8,1,1
SKU-00330,740,24.4,13.33,20,93,337,1.49,1,1
SKU-00331,310,12.73,4.76,20,51,178,0.98,0,1
SKU-00332,67,3.89,0.99,18,15,50,0.82,2,1
SKU-00333,577,18.87,8.47,26,153,398,1.13,2,1
SKU-00334,25,1.49,0.77,7,11,16,1.0,0,1
SKU-00335,26,3.76,1.85,16,23,53,1.46,2,1
SKU-00336,420,7.82,4.6,13,50,101,0.58,0,0
SKU-00337,14,1.65,0.69,16,15,28,1.29,0,1
SKU-00338,23,5.39,1.4,5,21,34,0.78,4,1
SKU-00339,572,14.5,5.06,10,82,154,1.31,3,0
SKU-00340,316,4.52,2.3,28,38,101,1.35,0,0
SKU-00341,751,14.98,3.49,24,114,294,1.35,2,0
SKU-00342,545,35.11,7.57,13,212,440,1.37,1,1
SKU-00343,146,11.09,5.13,5,51,79,1.22,3,1
SKU-00344,1240,14.8,4.77,20,142,290,0.64,2,0
SKU-00345,735,19.31,9.81,10,113,210,0.55,1,0
SKU-00346,407,5.83,1.0,11,53,85,0.84,2,0
SKU-00347,532,14.55,3.9,4,123,152,1.0,2,0
SKU-00348,376,5.71,1.34,10,52,81,0.8,2,0
SKU-00349,300,10.53,4.73,7,33,70,1.24,2,0
SKU-00350,364,16.11,7.73,2,102,118,1.22,1,0
SKU-00351,68,4.05,1.33,18,20,56,1.47,2,1
SKU-00352,3,0.54,0.18,29,3,11,0.9,2,1
SKU-00353,129,3.71,0.62,5,18,27,1.29,1,0
SKU-00354,262,17.78,8.02,3,102,129,1.24,2,1
SKU-00355,53,3.29,1.96,4,19,26,1.49,3,1
SKU-00356,752,17.11,8.37,17,127,272,1.27,1,0
SKU-00357,136,3.73,0.79,25,19,66,0.78,1,0
SKU-00358,139,6.98,2.87,10,34,69,0.52,1,0
SKU-00359,401,8.25,2.04,5,46,67,1.47,2,0
SKU-00360,51,3.28,0.38,4,26,33,1.22,0,1
SKU-00361,110,7.05,1.34,19,21,88,1.31,2,1
SKU-00362,92,1.77,0.27,11,15,25,1.29,2,0
SKU-00363,201,6.27,1.24,11,34,68,1.24,1,1
SKU-00364,335,7.73,3.85,8,54,85,1.25,1,0
SKU-00365,35,0.58,0.14,27,5,13,1.43,1,0
SKU-00366,181,3.68,1.76,12,24,46,1.41,0,0
SKU-00367,579,10.29,5.91,21,77,185,0.88,1,0
SKU-00368,255,2.93,1.13,22,28,60,0.53,1,0
SKU-00369,323,11.57,3.97,3,37,54,0.54,1,0
SKU-00370,339,12.4,5.89,8,68,118,0.95,1,0
SKU-00371,637,10.26,1.52,27,97,236,1.33,2,0
SKU-00372,506,14.43,4.53,26,128,316,1.35,1,1
SKU-00373,78,1.64,0.57,13,12,23,0.9,1,0
SKU-00374,44,16.62,8.57,6,77,127,0.8,4,1
SKU-00375,69,3.33,1.69,10,18,35,1.01,0,1
SKU-00376,678,8.99,4.71,28,81,207,1.33,0,0
SKU-00377,1291,26.16,11.74,20,206,468,1.14,1,0
SKU-00378,21,6.16,2.25,4,31,43,0.64,2,1
SKU-00379,168,8.41,4.32,22,33,126,0.86,0,1
SKU-00380,105,3.35,1.8,6,28,38,1.06,1,0
SKU-00381,1357,25.98,8.84,10,183,313,1.04,1,0
SKU-00382,55,3.69,2.19,15,36,64,1.33,2,1
SKU-00383,439,13.18,7.08,11,77,149,1.43,0,1
SKU-00384,695,19.28,6.85,21,105,307,0.6,1,0
SKU-00385,400,14.08,1.9,6,71,113,0.72,4,0
SKU-00386,195,10.73,2.28,26,68,207,0.89,2,1
SKU-00387,348,8.88,4.34,18,47,127,0.8,2,0
SKU-00388,72,2.5,0.39,10,9,21,0.91,1,0
SKU-00389,471,25.22,8.45,28,131,484,0.54,1,1
SKU-00390,130,10.09,4.06,15,46,122,0.57,1,1
SKU-00391,455,8.41,4.53,13,73,128,1.34,4,0
SKU-00392,54,3.08,1.61,2,14,17,0.6,1,0
SKU-00393,189,8.73,4.21,29,54,181,1.32,2,1
SKU-00394,273,8.01,2.43,25,62,162,0.81,0,0
SKU-00395,470,26.16,4.48,6,106,184,0.81,1,0
SKU-00396,438,8.41,3.66,28,57,175,0.6,2,0
SKU-00397,671,8.62,1.64,24,77,180,0.51,2,0
SKU-00398,151,3.12,1.19,13,22,42,0.86,0,0
SKU-00399,36,4.39,2.59,27,28,87,1.34,0,1
SKU-00400,364,12.09,4.54,17,107,210,1.42,2,1
SKU-00401,30,1.3,0.55,21,13,27,0.56,1,0
SKU-00402,896,16.55,7.26,7,145,203,0.53,0,0
SKU-00403,558,16.86,8.69,5,99,141,0.66,0,0
SKU-00404,266,3.98,1.26,16,29,61,1.27,2,0
SKU-00405,314,10.76,3.75,11,72,131,0.7,0,0
SKU-00406,142,19.71,3.71,29,101,387,0.73,2,1
SKU-00407,257,7.51,3.06,4,45,60,1.39,0,0
SKU-00408,210,6.44,1.6,23,57,131,1.37,1,1
SKU-00409,74,7.1,2.51,18,36,100,1.17,0,1
SKU-00410,343,10.07,4.87,26,93,224,0.66,2,0
SKU-00411,126,4.9,0.53,29,49,120,0.88,0,1
SKU-00412,70,6.0,2.29,26,31,109,0.74,0,1
SKU-00413,184,10.22,1.91,12,39,100,1.17,2,1
SKU-00414,406,5.6,1.34,21,54,113,1.28,1,0
SKU-00415,104,2.86,0.34,6,12,21,0.64,2,0
SKU-00416,30,1.17,0.22,15,10,19,1.4,1,1
SKU-00417,125,8.53,5.06,9,28,66,0.96,1,1
SKU-00418,682,18.88,11.31,9,88,173,1.3,1,0
SKU-00419,490,11.16,5.13,17,54,149,0.55,1,0
SKU-00420,124,2.97,1.21,5,15,22,0.86,1,0
SKU-00421,197,4.36,2.13,17,41,78,0.51,0,0
SKU-00422,221,6.4,3.51,13,27,69,1.22,1,0
SKU-00423,742,26.71,9.61,8,113,220,0.58,1,0
SKU-00424,319,27.67,3.26,17,217,452,0.84,1,1
SKU-00425,301,25.55,11.62,23,247,541,1.28,0,1
SKU-00426,457,9.21,5.46,19,53,140,1.25,0,0
SKU-00427,3544,50.3,11.52,4,423,524,1.14,1,0
SKU-00428,70,4.55,1.51,17,15,54,1.19,3,1
SKU-00429,337,6.21,1.74,19,54,113,1.15,1,0
SKU-00430,393,15.68,4.63,21,126,291,1.14,1,1
SKU-00431,620,10.26,4.73,13,95,162,0.85,3,0
SKU-00432,348,10.7,3.09,4,80,101,0.53,2,0
SKU-00433,118,3.47,1.98,5,33,42,0.94,3,0
SKU-00434,200,7.96,3.94,11,46,90,0.55,0,0
SKU-00435,166,4.61,0.52,19,37,81,0.97,0,0
SKU-00436,170,2.33,1.19,22,19,45,0.96,0,0
SKU-00437,209,5.1,2.48,20,25,76,0.68,1,0
SKU-00438,211,10.27,3.68,10,97,148,1.28,2,1
SKU-00439,341,13.94,4.86,14,118,216,1.2,1,1
SKU-00440,33,1.12,0.58,3,10,12,1.06,0,0
SKU-00441,28,8.25,2.58,24,46,145,1.43,1,1
SKU-00442,346,7.68,1.38,11,68,110,0.79,0,0
SKU-00443,239,9.88,2.53,16,51,130,0.76,2,0
SKU-00444,47,3.02,0.7,14,29,50,0.68,1,1
